Name	Set	ImageFile	Attack	Defense	Effect	Effect2	Cost	Type	Script
Leviathan	Mobs	53	6	6			7	Neutral	/ccr+6;/ccy+6;/ps3-7;/c2
Mammothstrider	Mobs	54	3	5	Rush		5	Neutral	/ccr+3;/ccy+5;/ps3-5;/c1
Manipulative Senator	Mobs	55	0	1	When placed: Your enemy can't draw cards next turn		3	Neutral	/ccy+1;/ps3-3;/c2
Militia	Mobs	56	1	1			1	Neutral	/ccr+1;/ccy+1;/ps3-1;/c2
Monkeyman	Mobs	57	1	1			1	Savage	/ccr+1;/ccy+1;/ps3-1;/c2
Nórds Warrior	Mobs	58	3	2			3	Savage	/ccr+3;/ccy+2;/ps3-3;/c2
Old Dragon 	Mobs	59	8	7	Outbreak	Smash (2)	8	Dragon	/ccr+8;/ccy+7;/ps3-8;/c2
Pirate Captain	Mobs	60	2	1	When placed: Draw 2 cards		5	Rogue	/ccr+2;/ccy+1;/ps3-5;/c2;/d2
Prince of Thran	Mobs	61	4	3	Rush		5	Knight	/ccr+4;/ccy+3;/ps3-5;/c1
Prince Thoer II	Mobs	62	5	5	Barrier Stun		7	Knight	/ccr+5;/ccy+5;/ps3-7;/c2
Protective Farmer	Mobs	63	1	2	Taunt		2	Neutral	/ccr+1;/ccy+2;/ps3-2;/ccw+1;/c2
Protective Lad	Mobs	64	0	1	Taunt		1	Neutral	/ccy+1;/ps3-1;/ccw+1;/c2
Ratty Robber	Mobs	65	2	2	Targeted Stun		3	Rogue	/ccr+2;/ccy+2;/ps3-3;/c2
Raven	Mobs	66	4	2	Assassinate		4	Rogue	/ccr+4;/ccy+2;/ps3-4;/c2
Satyr	Mobs	67	3	3			3	Beast	/ccr+3;/ccy+3;/ps3-3;/c2
Saunorse	Mobs	68	3	5			4	Beast	/ccr+3;/ccy+5;/ps3-4;/c2
Sea Poy	Mobs	69	2	1	Rush		3	Beast	/ccr+2;/ccy+1;/ps3-3;/c1
Senator	Mobs	70	0	1	Draw 1 card per round		3	Neutral	/ccy+1;/ps3-3;/c2
Shadow Gryphon	Mobs	71	4	3	Outbreak	Rush	6	Flying	/ccr+4;/ccy+3;/ps3-6;/c1
Shield Maiden	Mobs	72	3	2	Gives all Savage type +1/+1		5	Savage	/ccr+3;/ccy+2;/ps3-5;/c2
Shroomer	Mobs	73	1	1			0	Neutral (spawn)	/ccr+1;/ccy+1;/c2
Simeon the Young	Mobs	74	5	3	Barrier Smash (3) 	Each round draw an additional card	7	Mage	/ccr+5;/ccy+3;/ps3-7;/c2
Sirene	Mobs	75	3	2	Barrier Stun		4	Occult	/ccr+3;/ccy+2;/ps3-4;/c2
Soldier of Ez	Mobs	76	2	2	Dexterity		3	Neutral	/ccr+2;/ccy+2;/ps3-3;/c2
Swamp Poy	Mobs	77	2	3			3	Beast	/ccr+2;/ccy+3;/ps3-3;/c2
Thran Knight	Mobs	78	3	2	Rush		3	Knight	/ccr+3;/ccy+2;/ps3-3;/c1
Thunder Gryphon	Mobs	79	4	5	Outbreak		5	Flying	/ccr+4;/ccy+5;/ps3-5;/c2
Titon Merchant	Mobs	80	1	1	When placed: Draw 1 card		2	Neutral	/ccr+1;/ccy+1;/ps3-2;/c2;/d1
Troll Raider	Mobs	81	2	2			2	Troll	/ccr+2;/ccy+2;/ps3-2;/c2
Troll Raider (s)	Mobs	82	2	2			0	Troll (spawn)	/ccr+2;/ccy+2;/c2
Turthle	Mobs	83	0	4	Taunt	Can not attack	1	Beast	/ccy+4;/ps3-1;/ccw+1;/c2
War Boar	Mobs	84	1	2	Rush		3	Beast	/ccr+1;/ccy+2;/ps3-3;/c1
War Zorilla	Mobs	85	3	3	Taunt		4	Beast	/ccr+3;/ccy+3;/ps3-4;/ccw+1;/c2
Warzhull	Mobs	86	6	5	Dexterity	When played: Summon 2 Troll Raiders	9	Troll	/ccr+6;/ccy+5;/ps3-9;/c2;/spawnx2 Troll Raider (s)
Webroach	Mobs	87	1	3	Targeted Stun		3	Occult	/ccr+1;/ccy+3;/ps3-3;/c2
Wi'fan Heathen	Mobs	88	4	3			4	Occult	/ccr+4;/ccy+3;/ps3-4;/c2
Wi'fan Worshipper	Mobs	89	4	4	Smash (3)		5	Occult	/ccr+4;/ccy+4;/ps3-5;/c2
Wyvern	Mobs	90	4	2	Outbreak		4	Occult	/ccr+4;/ccy+2;/ps3-4;/c2
Youngster Dragon	Mobs	91	6	7	Outbreak		7	Dragon	/ccr+6;/ccy+7;/ps3-7;/c2
Zorilla	Mobs	92	2	3	Taunt		3	Beast	/ccr+2;/ccy+3;/ps3-3;/ccw+1;/c2
